# JonubiAge.txt
#
# This file is a modification of the data found in Jonubi.txt.  This file contains all of the lengths
#  found in the original file but only the ages for a random proportional sample of fish.  The random
#  proportional sample was obtained with age.key.subsample(J,1,1,num.sample=50).  The data in this
#  file is used to demonstrate the utility of an age-length key.  The original data is described in the
#  Jonubi.txt data file.
#
fl	age
12	3
14	3
15	4
12	3
12	3
10	3
12	3
12	3
13	3
11	2
13	3
12	3
11	2
12	3
13	3
11	2
12	2
12	3
17	4
14	3
13	3
13	3
15	4
11	2
14	3
10	1
11	2
12	3
9	1
13	3
18	6
12	2
12	3
14	3
14	3
15	3
10	2
13	3
12	2
15	3
14	4
11	2
13	3
11	2
13	3
13	3
13	3
14	3
16	4
16	5
14	3
5	1
8	1
7	1
6	1
15	NA
15	NA
12	NA
15	NA
12	NA
11	NA
11	NA
10	NA
11	NA
9	NA
9	NA
12	NA
12	NA
15	NA
12	NA
12	NA
12	NA
12	NA
12	NA
13	NA
10	NA
12	NA
13	NA
13	NA
17	NA
10	NA
12	NA
15	NA
12	NA
11	NA
12	NA
11	NA
14	NA
13	NA
10	NA
11	NA
12	NA
15	NA
14	NA
14	NA
12	NA
10	NA
13	NA
13	NA
16	NA
12	NA
12	NA
13	NA
12	NA
14	NA
14	NA
13	NA
12	NA
13	NA
14	NA
12	NA
12	NA
13	NA
10	NA
12	NA
11	NA
13	NA
12	NA
14	NA
15	NA
13	NA
13	NA
12	NA
11	NA
11	NA
13	NA
14	NA
10	NA
11	NA
12	NA
13	NA
13	NA
11	NA
11	NA
12	NA
13	NA
15	NA
13	NA
11	NA
13	NA
14	NA
14	NA
15	NA
12	NA
13	NA
15	NA
10	NA
11	NA
12	NA
13	NA
12	NA
13	NA
12	NA
12	NA
12	NA
11	NA
10	NA
16	NA
16	NA
13	NA
13	NA
14	NA
12	NA
11	NA
14	NA
13	NA
12	NA
13	NA
12	NA
14	NA
13	NA
12	NA
12	NA
12	NA
15	NA
12	NA
13	NA
16	NA
12	NA
17	NA
15	NA
13	NA
15	NA
11	NA
14	NA
14	NA
12	NA
13	NA
18	NA
14	NA
14	NA
12	NA
12	NA
14	NA
11	NA
10	NA
10	NA
14	NA
11	NA
11	NA
12	NA
12	NA
11	NA
13	NA
12	NA
11	NA
11	NA
15	NA
11	NA
12	NA
15	NA
13	NA
13	NA
12	NA
14	NA
14	NA
13	NA
12	NA
15	NA
14	NA
15	NA
12	NA
14	NA
11	NA
14	NA
13	NA
13	NA
13	NA
12	NA
12	NA
11	NA
14	NA
13	NA
13	NA
12	NA
13	NA
16	NA
14	NA
13	NA
16	NA
12	NA
15	NA
17	NA
12	NA
12	NA
12	NA
12	NA
11	NA
15	NA
15	NA
11	NA
14	NA
17	NA
11	NA
11	NA
12	NA
12	NA
13	NA
13	NA
13	NA
13	NA
12	NA
14	NA
14	NA
12	NA
14	NA
13	NA
14	NA
14	NA
12	NA
13	NA
11	NA
15	NA
14	NA
12	NA
11	NA
12	NA
13	NA
15	NA
13	NA
14	NA
12	NA
13	NA
12	NA
14	NA
12	NA
17	NA
14	NA
13	NA
16	NA
17	NA
15	NA
12	NA
12	NA
13	NA
11	NA
13	NA
13	NA
14	NA
14	NA
13	NA
15	NA
13	NA
11	NA
11	NA
13	NA
16	NA
13	NA
15	NA
13	NA
11	NA
14	NA
11	NA
12	NA
13	NA
14	NA
12	NA
11	NA
15	NA
14	NA
11	NA
14	NA
13	NA
12	NA
12	NA
15	NA
11	NA
14	NA
10	NA
12	NA
13	NA
13	NA
9	NA
13	NA
12	NA
13	NA
13	NA
14	NA
13	NA
13	NA
11	NA
12	NA
8	NA
13	NA
12	NA
14	NA
12	NA
12	NA
13	NA
9	NA
12	NA
14	NA
13	NA
14	NA
12	NA
15	NA
15	NA
14	NA
11	NA
13	NA
12	NA
10	NA
10	NA
13	NA
10	NA
13	NA
13	NA
13	NA
12	NA
12	NA
10	NA
12	NA
13	NA
13	NA
14	NA
12	NA
12	NA
14	NA
10	NA
11	NA
14	NA
13	NA
14	NA
14	NA
14	NA
13	NA
13	NA
11	NA
16	NA
14	NA
15	NA
11	NA
9	NA
11	NA
13	NA
11	NA
15	NA
16	NA
14	NA
16	NA
12	NA
12	NA
14	NA
10	NA
14	NA
15	NA
16	NA
11	NA
11	NA
13	NA
